lead_score,1,2,generation
462.00004666666666,"['anchor_bead', 'N5a', 'N5a', 'N5a', 'N5a']","['anchor_bead', None, None, None, None, None, None]",0
457.99289423333335,"['anchor_bead', 'N5a', 'N5a', 'N5a', 'N5a']","['anchor_bead', None, None, None, None, None, None]",1
398.61697016666665,"['anchor_bead', 'SN3a', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",2
459.67378449999995,"['anchor_bead', 'SN3a', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",3
396.13608500000004,"['anchor_bead', 'SN3a', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",4
460.58661756666675,"['anchor_bead', 'SN3a', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",5
453.85918553333335,"['anchor_bead', 'SC1', 'SN3a', 'SC1', 'SN3a']","['anchor_bead', 'SP2']",6
424.0448099333333,"['anchor_bead', 'SC1', 'SN3a', 'SC1', 'SN3a']","['anchor_bead', 'SP2']",7
383.9350826333333,"['anchor_bead', 'SN4', 'SN4', 'SC1', 'SC1']","['anchor_bead', 'SP2']",8
391.53420026666663,"['anchor_bead', 'SN4', 'SN4', 'SC1', 'SC1']","['anchor_bead', 'SP2']",9
359.4151618666667,"['anchor_bead', 'SC1', 'N5a', 'SN3a', 'SN3a']","['anchor_bead', 'TP1']",10
427.9006975,"['anchor_bead', 'SN4', 'SN4', 'SC1', 'SC1']","['anchor_bead', 'SP2']",11
369.6646022,"['anchor_bead', 'N5a', 'SP2']","['anchor_bead', 'TC6']",12
399.70500603333335,"['anchor_bead', 'N5a', 'SP2']","['anchor_bead', 'TC6']",13
322.14257733333335,"['anchor_bead', 'SC1', 'N5a', 'SN4', 'SN3a']","['anchor_bead', None, None, None, None, None, None]",14
343.95151505,"['anchor_bead', 'SC1', 'N5a', 'SN4', 'SN3a']","['anchor_bead', None, None, None, None, None, None]",15
423.7198532333333,"['anchor_bead', 'SC1', 'N5a', 'SN4', 'SN3a']","['anchor_bead', None, None, None, None, None, None]",16
409.67360766666667,"['anchor_bead', 'SC1', 'N5a', 'SN4', 'SN3a']","['anchor_bead', None, None, None, None, None, None]",17
356.0661146333333,"['anchor_bead', 'SC1', 'N5a', 'SN4', 'SN3a']","['anchor_bead', None, None, None, None, None, None]",18
386.7849970666666,"['anchor_bead', 'SC1', 'N5a', 'SN4', 'SN3a']","['anchor_bead', None, None, None, None, None, None]",19
282.91781463333336,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",20
263.78440646666667,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",21
294.4618721333334,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",22
306.4343303666666,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",23
