atom1,atom2,bond_length,force_constant
SC1,SC1,0.33695,3000
SC1,TP1,0.33695,3000
SC1,TN6,0.33695,3000
SC1,SN4,0.33695,3000
SC1,SN3a,0.33695,3000
SC1,TC4,0.33695,3000
SC1,TC6,0.33695,3000
SC1,N5a,0.33695,3000
TP1,SC1,0.33695,3000
TP1,TP1,0.33695,3000
TP1,TN6,0.33695,3000
TP1,SN4,0.33695,3000
TP1,SN3a,0.33695,3000
TP1,TC4,0.33695,3000
TP1,TC6,0.33695,3000
TP1,N5a,0.33695,3000
TN6,SC1,0.33695,3000
TN6,TP1,0.33695,3000
TN6,TN6,0.33695,3000
TN6,SN4,0.33695,3000
TN6,SN3a,0.33695,3000
TN6,TC4,0.33695,3000
TN6,TC6,0.33695,3000
TN6,N5a,0.33695,3000
SN4,SC1,0.33695,3000
SN4,TP1,0.33695,3000
SN4,TN6,0.33695,3000
SN4,SN4,0.33695,3000
SN4,SN3a,0.33695,3000
SN4,TC4,0.33695,3000
SN4,TC6,0.33695,3000
SN4,N5a,0.33695,3000
SN3a,SC1,0.33695,3000
SN3a,TP1,0.33695,3000
SN3a,TN6,0.33695,3000
SN3a,SN4,0.33695,3000
SN3a,SN3a,0.33695,3000
SN3a,TC4,0.33695,3000
SN3a,TC6,0.33695,3000
SN3a,N5a,0.33695,3000
TC4,SC1,0.33695,3000
TC4,TP1,0.33695,3000
TC4,TN6,0.33695,3000
TC4,SN4,0.33695,3000
TC4,SN3a,0.33695,3000
TC4,TC4,0.33695,3000
TC4,TC6,0.33695,3000
TC4,N5a,0.33695,3000
TC6,SC1,0.33695,3000
TC6,TP1,0.33695,3000
TC6,TN6,0.33695,3000
TC6,SN4,0.33695,3000
TC6,SN3a,0.33695,3000
TC6,TC4,0.33695,3000
TC6,TC6,0.33695,3000
TC6,N5a,0.33695,3000
N5a,SC1,0.33695,3000
N5a,TP1,0.33695,3000
N5a,TN6,0.33695,3000
N5a,SN4,0.33695,3000
N5a,SN3a,0.33695,3000
N5a,TC4,0.33695,3000
N5a,TC6,0.33695,3000
N5a,N5a,0.33695,3000
